X1,X2,X3,X4
70.99,53.21,80.09,96.74
34.87,61.75,51.02,39.90
441.68,49.12,81.91,36.87
159.83,55.55,62.83,85.19
165.72,49.60,79.25,28.18
220.53,47.96,76.20,84.81
26.15,47.89,86.83,90.83
75.71,64.74,22.10,35.84
265.95,55.60,43.69,29.15
299.75,43.18,45.18,35.38
179.81,38.43,49.95,24.85
42.02,52.55,69.78,83.22
87.92,49.04,80.85,78.39
38.59,64.78,16.59,42.71
32.04,52.20,54.92,40.62
61.74,47.92,40.74,38.97
33.36,54.78,27.31,23.57
51.86,43.43,21.47,105.22
98.95,52.46,76.62,86.30
101.30,63.03,81.03,27.54
26.32,65.50,37.03,29.92
286.96,54.16,83.16,37.74
96.65,50.76,70.79,84.89
286.24,54.30,39.59,29.57
44.63,56.88,15.37,84.16
43.83,45.41,43.33,68.52
213.03,65.80,52.55,30.03
187.03,62.07,22.13,83.60
169.68,46.97,49.21,24.29
63.20,59.08,47.07,23.88
79.75,51.06,77.22,83.39
136.83,47.80,22.64,81.52
91.72,45.68,57.56,34.69
122.27,66.03,29.18,21.44
35.76,63.97,72.48,85.76
61.53,60.51,42.94,82.62
130.23,58.38,29.66,26.26
264.94,49.03,64.58,19.25
26.93,68.22,59.76,87.96
157.30,57.68,25.24,46.19
30.23,52.76,19.80,74.33
26.05,62.32,27.15,82.43
36.14,54.43,32.10,90.19
103.69,48.26,63.28,39.94
272.12,63.08,81.67,96.27
61.83,54.91,14.60,30.82
212.82,59.48,78.39,43.29
134.67,44.76,78.99,18.64
139.94,51.39,56.62,92.93
237.43,54.65,33.51,82.73
107.66,60.80,82.88,26.00
58.17,55.31,29.89,85.56
73.11,57.41,85.36,83.38
49.55,47.68,58.58,29.42
189.90,61.61,52.28,94.46
120.11,49.85,23.89,41.70
105.19,45.17,47.03,81.95
81.61,50.41,16.09,93.37
50.96,47.09,47.22,91.10
190.31,58.20,53.58,32.17
65.21,49.99,66.09,90.97
139.61,58.99,49.40,38.78
35.81,51.99,85.26,85.81
25.69,57.00,58.88,85.63
167.16,64.45,44.80,88.04
225.20,42.91,49.84,23.87
104.12,49.36,80.38,101.80
52.79,58.51,15.31,81.77
40.54,59.99,79.13,21.05
103.97,55.33,16.22,101.21
31.42,54.45,60.19,91.55
47.78,55.19,25.57,81.73
119.27,65.19,42.68,78.97
97.92,49.08,68.69,86.72
338.19,54.30,40.78,24.14
230.76,46.09,36.66,96.40
113.96,47.23,63.58,88.96
28.80,57.87,61.40,12.25
39.46,54.80,51.07,19.11
57.35,50.67,21.01,92.70
38.18,56.45,68.17,93.76
283.28,47.79,13.66,18.04
349.20,45.78,70.13,29.31
24.44,66.08,18.54,79.11
109.19,52.54,28.14,110.82
55.97,67.99,22.66,85.44
122.70,60.45,58.43,94.87
218.87,51.22,47.50,7.93
61.66,53.58,35.79,48.07
150.57,41.66,58.08,92.49
29.83,45.97,35.04,52.98
30.07,41.89,42.99,38.31
69.09,46.72,52.85,85.25
71.76,33.63,44.78,33.53
